(1, 300)
(1.5475e-06, 0.0002380653631640124)
(1.5475005e-06, 0.0002498503733727509)
(1.5475009999999998e-06, 0.0002619183913089229)
(1.5475014999999997e-06, 0.00027426889432488047)
(1.5475019999999996e-06, 0.00028690132252803905)
(1.5475024999999995e-06, 0.00029981507873865404)
(1.5475029999999995e-06, 0.00031300952852306835)
(1.5475034999999994e-06, 0.00032648400016159604)
(1.5475039999999993e-06, 0.0003402377846561788)
(1.5475044999999992e-06, 0.00035427013574398095)
(1.547504999999999e-06, 0.0003685802698764286)
(1.547505499999999e-06, 0.0003831673662898525)
(1.547505999999999e-06, 0.0003980305669620233)
(1.5475064999999988e-06, 0.00041316897670246196)
(1.5475069999999987e-06, 0.00042858166311641804)
(1.5475074999999986e-06, 0.00044426765670751056)
(1.5475079999999985e-06, 0.00046022595084908407)
(1.5475084999999984e-06, 0.0004764555018992248)
(1.5475089999999983e-06, 0.0004929552291887882)
(1.5475094999999983e-06, 0.0005097240151118138)
(1.5475099999999982e-06, 0.0005267607051765469)
(1.547510499999998e-06, 0.000544064108070304)
(1.547510999999998e-06, 0.0005616329957291824)
(1.5475114999999979e-06, 0.0005794661034128623)
(1.5475119999999978e-06, 0.0005975621297842303)
(1.5475124999999977e-06, 0.0006159197370043224)
(1.5475129999999976e-06, 0.000634537550780817)
(1.5475134999999975e-06, 0.0006534141605239206)
(1.5475139999999974e-06, 0.0006725481194157872)
(1.5475144999999973e-06, 0.0006919379444930818)
(1.5475149999999972e-06, 0.0007115821167769392)
(1.5475154999999972e-06, 0.0007314790814206593)
(1.547515999999997e-06, 0.000751627247763133)
(1.547516499999997e-06, 0.0007720249894965254)
(1.5475169999999969e-06, 0.0007926706447843391)
(1.5475174999999968e-06, 0.0008135625163952304)
(1.5475179999999967e-06, 0.0008346988718417024)
(1.5475184999999966e-06, 0.0008560779435236776)
(1.5475189999999965e-06, 0.0008776979288768638)
(1.5475194999999964e-06, 0.0008995569905383485)
(1.5475199999999963e-06, 0.0009216532564557489)
(1.5475204999999962e-06, 0.0009439848201232466)
(1.5475209999999961e-06, 0.000966549740713357)
(1.547521499999996e-06, 0.0009893460432238233)
(1.547521999999996e-06, 0.0010123717186923894)
(1.5475224999999959e-06, 0.0010356247243663178)
(1.5475229999999958e-06, 0.0010591029838892996)
(1.5475234999999957e-06, 0.001082804387492826)
(1.5475239999999956e-06, 0.0011067267921924797)
(1.5475244999999955e-06, 0.001130868021988734)
(1.5475249999999954e-06, 0.0011552258680725767)
(1.5475254999999953e-06, 0.0011797980890493975)
(1.5475259999999952e-06, 0.0012045824110989167)
(1.5475264999999951e-06, 0.0012295765282908456)
(1.547526999999995e-06, 0.0012547781027123664)
(1.547527499999995e-06, 0.0012801847647519085)
(1.5475279999999949e-06, 0.0013057941133185077)
(1.5475284999999948e-06, 0.00133160371607935)
(1.5475289999999947e-06, 0.0013576111097019427)
(1.5475294999999946e-06, 0.0013838138001005993)
(1.5475299999999945e-06, 0.0014102092627022568)
(1.5475304999999944e-06, 0.0014367949426428754)
(1.5475309999999943e-06, 0.0014635682551305054)
(1.5475314999999942e-06, 0.001490526585590847)
(1.5475319999999941e-06, 0.0015176672900551334)
(1.547532499999994e-06, 0.0015449876953279006)
(1.547532999999994e-06, 0.001572485099324114)
(1.5475334999999938e-06, 0.0016001567713353191)
(1.5475339999999937e-06, 0.0016279999523308149)
(1.5475344999999937e-06, 0.0016560118551849654)
(1.5475349999999936e-06, 0.0016841896650800572)
(1.5475354999999935e-06, 0.0017125305396790717)
(1.5475359999999934e-06, 0.0017410316095534536)
(1.5475364999999933e-06, 0.001769689978378672)
(1.5475369999999932e-06, 0.001798502723307422)
(1.547537499999993e-06, 0.0018274668952678469)
(1.547537999999993e-06, 0.0018565795192813928)
(1.547538499999993e-06, 0.0018858375948011242)
(1.5475389999999928e-06, 0.0019152380959720115)
(1.5475394999999927e-06, 0.0019447779720748962)
(1.5475399999999926e-06, 0.001974454147745256)
(1.5475404999999925e-06, 0.00200426352337577)
(1.5475409999999925e-06, 0.0020342029754408276)
(1.5475414999999924e-06, 0.0020642693568409015)
(1.5475419999999923e-06, 0.0020944594972507726)
(1.5475424999999922e-06, 0.002124770203488153)
(1.547542999999992e-06, 0.0021551982598012375)
(1.547543499999992e-06, 0.002185740428346054)
(1.547543999999992e-06, 0.0022163934494300727)
(1.5475444999999918e-06, 0.0022471540419457562)
(1.5475449999999917e-06, 0.002278018903722717)
(1.5475454999999916e-06, 0.002308984711900152)
(1.5475459999999915e-06, 0.0023400481233200156)
(1.5475464999999914e-06, 0.0023712057748366314)
(1.5475469999999914e-06, 0.0024024542838203965)
(1.5475474999999913e-06, 0.0024337902484216764)
(1.5475479999999912e-06, 0.0024652102480288364)
(1.547548499999991e-06, 0.0024967108436425405)
(1.547548999999991e-06, 0.002528288578270435)
(1.5475494999999909e-06, 0.0025599399773425634)
(1.5475499999999908e-06, 0.002591661549041296)
(1.5475504999999907e-06, 0.0026234497848285905)
(1.5475509999999906e-06, 0.0026553011597286193)
(1.5475514999999905e-06, 0.0026872121328077665)
(1.5475519999999904e-06, 0.00271917914756894)
(1.5475524999999903e-06, 0.0027511986323840868)
(1.5475529999999902e-06, 0.0027832670008401976)
(1.5475534999999902e-06, 0.0028153806522842662)
(1.54755399999999e-06, 0.002847535972120858)
(1.54755449999999e-06, 0.002879729332308591)
(1.5475549999999899e-06, 0.002911957091769926)
(1.5475554999999898e-06, 0.0029442155968390804)
(1.5475559999999897e-06, 0.0029765011816224878)
(1.5475564999999896e-06, 0.003008810168559391)
(1.5475569999999895e-06, 0.00304113886873285)
(1.5475574999999894e-06, 0.003073483582380934)
(1.5475579999999893e-06, 0.0031058405993200687)
(1.5475584999999892e-06, 0.0031382061993885557)
(1.5475589999999891e-06, 0.0031705766529101756)
(1.547559499999989e-06, 0.0032029482210875837)
(1.547559999999989e-06, 0.0032353171565060687)
(1.5475604999999889e-06, 0.0032676797035669346)
(1.5475609999999888e-06, 0.0033000320989408152)
(1.5475614999999887e-06, 0.0033323705720228686)
(1.5475619999999886e-06, 0.003364691345407681)
(1.5475624999999885e-06, 0.003396990635293797)
(1.5475629999999884e-06, 0.0034292646519981066)
(1.5475634999999883e-06, 0.003461509600399635)
(1.5475639999999882e-06, 0.003493721680403049)
(1.5475644999999881e-06, 0.003525897087421459)
(1.547564999999988e-06, 0.0035580320127889067)
(1.547565499999988e-06, 0.0035901226442820794)
(1.5475659999999879e-06, 0.0036221651665713974)
(1.5475664999999878e-06, 0.003654155761691345)
(1.5475669999999877e-06, 0.0036860906095121616)
(1.5475674999999876e-06, 0.00371796588823028)
(1.5475679999999875e-06, 0.00374977777478895)
(1.5475684999999874e-06, 0.003781522445406605)
(1.5475689999999873e-06, 0.0038131960760350004)
